sku,oemNumber,name,fits,make,model,yearFrom,yearTo,costPrice,retailPrice,qty,supplier
REL-5PIN,REL-5PIN,Relay 12V 40A 5-pin,Most vehicles,Universal,Relay,2010,2026,42,85,16,Hella
LMP-HL-POLO-L,6R1941005,Headlamp left — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2017,1450,2799,2,Hella
LMP-HL-POLO-R,6R1941006,Headlamp right — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2017,1450,2799,2,Hella
LMP-HL-I20-L,92101-1R000,Headlamp left — i20,Hyundai i20,Hyundai,i20,2015,2020,980,1899,2,Hyundai Mobis
LMP-TL-HILUX,81550-0K080,Tail lamp left — Hilux,Toyota Hilux,Toyota,Hilux,2016,2020,620,1199,2,Toyota Genuine
LMP-FOG-RANG,AB39-15200-AA,Fog lamp — Ranger (each),Ford Ranger,Ford,Ranger,2012,2022,380,749,4,Motorcraft
LMP-MIR-IND,IND-MIR-UNI,Mirror indicator repeater (each),Most hatches,Universal,Indicator,2010,2026,85,169,10,Local OEM
FUL-PMP-POLO,6C0919051,Fuel pump in-tank — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,1450,2749,2,VDO
FUL-PMP-HIL,23221-0K080,Fuel pump — Hilux petrol,Toyota Hilux,Toyota,Hilux,2016,2026,1650,3149,2,Denso
FUL-PMP-I20,31110-1R000,Fuel pump — i20,Hyundai i20,Hyundai,i20,2015,2026,980,1899,2,Hyundai Mobis
FUL-INJ-HIL,23670-0L070,Diesel injector — Hilux GD-6 (each),Toyota Hilux,Toyota,Hilux,2016,2026,2450,4599,4,Denso
FUL-INJ-RNG,BK2Q-9K546-AG,Diesel injector — Ranger 2.2 (each),Ford Ranger,Ford,Ranger,2012,2022,2280,4299,3,Bosch Dist
FUL-CAP-UNI,FCAP-LOCK,Locking fuel cap universal,Most vehicles,Universal,Fuel cap,2010,2026,85,169,12,Local OEM
AC-COMP-POLO,6R0820803,A/C compressor — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,2450,4599,1,Sanden
AC-COMP-HIL,88320-0K080,A/C compressor — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,2850,5299,1,Denso
AC-COND-POLO,6R0820411,A/C condenser — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,980,1899,2,Nissens
AC-GAS-R134,R134A-CAN,A/C gas R134a 340g can,Older systems,Universal,A/C gas,2000,2018,95,189,16,Local OEM
AC-GAS-R123,R1234YF-CAN,A/C gas R1234yf 170g can,Newer systems,Universal,A/C gas,2017,2026,245,479,8,Local OEM
AC-DYE,AC-DYE,A/C leak-detect dye,Workshop,Universal,A/C,2010,2026,65,129,10,Local OEM
AC-DRY-UNI,RXD-UNI,A/C receiver drier universal,Most vehicles,Universal,A/C,2010,2026,185,359,4,Nissens
BDY-MIR-POLO-L,6R1857501,Side mirror left — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2017,620,1199,3,Local OEM
BDY-MIR-POLO-R,6R1857502,Side mirror right — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2017,620,1199,3,Local OEM
BDY-MIR-HIL-L,87940-0K080,Side mirror left — Hilux,Toyota Hilux,Toyota,Hilux,2016,2020,780,1499,2,Toyota Genuine
BDY-HND-POLO,6R0837885,Door handle outer — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,185,359,6,Local OEM
BDY-HND-HIL,69205-0K080,Door handle outer — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,210,409,4,Toyota Genuine
BDY-REG-POLO,6R0837461,Window regulator front left — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,480,929,3,Local OEM
BDY-REG-I20,82401-1R000,Window regulator front left — i20,Hyundai i20,Hyundai,i20,2015,2020,420,819,2,Hyundai Mobis
BDY-LOCK-POLO,6R0837015,Door lock actuator — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,380,749,3,Local OEM
WSC-POLO,6R1845011,Windscreen — Polo / Vivo,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,1450,2799,2,Shatterprufe
WSC-HILUX,56111-0K080,Windscreen — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,1850,3499,2,Shatterprufe
WSC-RANG,AB39-6300310-A,Windscreen — Ranger,Ford Ranger,Ford,Ranger,2012,2022,1750,3349,1,Shatterprufe
WSC-I20,86111-1R000,Windscreen — i20,Hyundai i20,Hyundai,i20,2015,2020,1100,2149,2,Shatterprufe
BDY-BMP-CLP,CLIP-BMP-50,Bumper clip assortment 50pc,Most vehicles,Universal,Clips,2010,2026,45,95,15,Local OEM
BDY-MUD-HIL,76622-0K080,Mud flap set — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,280,549,4,Toyota Genuine
EXH-MUF-POLO,6R0253609,Rear muffler — Polo 1.4,Volkswagen Polo,Volkswagen,Polo,2010,2024,780,1499,2,Bosal
EXH-MUF-HIL,17430-0K080,Rear muffler — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,1250,2399,2,Bosal
EXH-FLEX-50,FLEX-50-200,Exhaust flex 50mm x 200mm,Most 1.4-2.0,Universal,Exhaust,2010,2026,145,289,8,Local OEM
EXH-FLEX-60,FLEX-60-200,Exhaust flex 60mm x 200mm,Bakkies / 2.0+,Universal,Exhaust,2010,2026,165,319,6,Local OEM
EXH-GASK-UNI,EGASK-ASST,Exhaust gasket assortment,Workshop,Universal,Exhaust,2010,2026,85,169,10,Local OEM
EXH-RB-HIL,17560-0K080,Rubber exhaust hanger — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,45,89,12,Toyota Genuine
TYR-195-65-15,P1956515,Tyre 195/65R15 91H,Toyota Corolla|Volkswagen Polo|Hyundai i20,Universal,Tyre,2010,2026,850,1399,16,Goodyear
TYR-185-60-15,P1856015,Tyre 185/60R15 84H,Volkswagen Polo Vivo|Hyundai i20|Suzuki Swift,Universal,Tyre,2010,2026,720,1199,12,Goodyear
TYR-175-70-14,P1757014,Tyre 175/70R14 84T,Kia Picanto|Hyundai i10|Renault Kwid,Universal,Tyre,2010,2026,580,999,10,Dunlop
TYR-205-55-16,P2055516,Tyre 205/55R16 91V,Volkswagen Golf|Toyota Corolla|Hyundai Tucson,Universal,Tyre,2010,2026,980,1649,12,Continental
TYR-215-60-17,P2156017,Tyre 215/60R17 96H,Hyundai Tucson|Kia Sportage|Mazda CX-5,Universal,Tyre,2015,2026,1250,2099,8,Continental
TYR-265-65-17,P2656517,Tyre 265/65R17 112T A/T,Toyota Hilux|Ford Ranger|Isuzu D-Max,Universal,Tyre,2012,2026,1850,3099,12,Goodyear
TYR-255-70-16,P2557016,Tyre 255/70R16 111T,Toyota Hilux|Nissan Navara,Universal,Tyre,2012,2026,1650,2749,8,Dunlop
TYR-265-60-18,P2656018,Tyre 265/60R18 110H,Ford Ranger Wildtrak|Toyota Fortuner,Universal,Tyre,2016,2026,2100,3499,6,Continental
TYR-SPARE-16,SPARE-16-STEEL,Space-saver spare 16 inch,Most sedans,Universal,Tyre,2010,2026,980,1699,3,Local OEM
ACC-TOW-HIL,TOW-HILUX-GD6,Towbar fixed — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,2200,3999,3,Safari Centre
ACC-TOW-RNG,TOW-RANGER-T6,Towbar fixed — Ranger T6/T7,Ford Ranger,Ford,Ranger,2012,2022,2100,3849,2,Safari Centre
ACC-TOW-POLO,TOW-POLO,Towbar detachable — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,1850,3399,1,Local OEM
ACC-NUDGE-HIL,NUDGE-HILUX,Nudge bar — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,2450,4499,2,Safari Centre
ACC-NUDGE-RNG,NUDGE-RANGER,Nudge bar — Ranger,Ford Ranger,Ford,Ranger,2012,2026,2350,4299,2,Safari Centre
ACC-MAT-HIL,MAT-HILUX,Rubber floor mat set — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,380,749,6,Toyota Genuine
ACC-MAT-POLO,MAT-POLO,Rubber floor mat set — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,280,549,6,Local OEM
ACC-MAT-RANG,MAT-RANGER,Rubber floor mat set — Ranger,Ford Ranger,Ford,Ranger,2012,2026,360,699,4,Motorcraft
ACC-LINER-HIL,LINER-HILUX,Load-bin liner — Hilux DC,Toyota Hilux,Toyota,Hilux,2016,2026,1850,3399,3,Safari Centre
ACC-LINER-RNG,LINER-RANGER,Load-bin liner — Ranger DC,Ford Ranger,Ford,Ranger,2012,2026,1750,3249,2,Safari Centre
ACC-BAR-HIL,LOADBAR-HIL,Load bars — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,980,1899,3,Safari Centre
ACC-SEAT-UNI,SEAT-CANVAS,Canvas seat cover set universal,Bakkies|Toyota Hilux|Ford Ranger|Nissan NP200,Universal,Seat cover,2010,2026,450,899,8,Local OEM
ACC-LOCK-DIFF,DIFFLOCK-HIL,Aftermarket locker — Hilux (enquire),Toyota Hilux,Toyota,Hilux,2016,2026,8500,14500,0,Safari Centre
ACC-CANOPY-HIL,CANOPY-HIL-DC,Fibreglass canopy — Hilux DC,Toyota Hilux,Toyota,Hilux,2016,2026,12500,21999,1,Safari Centre
ACC-SNORK-HIL,SNORK-HILUX,Snorkel — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,1850,3399,2,Safari Centre
KIT-MIN-HIL,KIT-HIL-MIN,Minor service kit — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,620,1199,8,Toyota Genuine
KIT-MAJ-HIL,KIT-HIL-MAJ,Major service kit — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,1450,2749,4,Toyota Genuine
KIT-MIN-POLO,KIT-POLO-MIN,Minor service kit — Polo / Vivo,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,420,799,10,Mann Filter
KIT-MAJ-POLO,KIT-POLO-MAJ,Major service kit — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,980,1899,4,Mann Filter
KIT-MIN-RANG,KIT-RNG-MIN,Minor service kit — Ranger diesel,Ford Ranger,Ford,Ranger,2012,2026,680,1299,6,Motorcraft
KIT-MIN-I20,KIT-I20-MIN,Minor service kit — i20,Hyundai i20,Hyundai,i20,2015,2026,340,649,8,Hyundai Mobis
KIT-MIN-COR,KIT-COR-MIN,Minor service kit — Corolla,Toyota Corolla,Toyota,Corolla,2014,2019,380,729,6,Toyota Genuine
KIT-MIN-DMAX,KIT-DMX-MIN,Minor service kit — D-Max,Isuzu D-Max,Isuzu,D-Max,2013,2026,620,1199,4,Isuzu Genuine
SEN-O2-POLO,03C906262,Oxygen sensor — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,620,1199,3,Bosch Dist
SEN-O2-HIL,89465-0K080,Oxygen sensor — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,680,1299,3,Denso
SEN-MAF-POLO,03C906461,MAF sensor — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,850,1649,2,Bosch Dist
SEN-ABS-HIL,89542-0K080,ABS wheel speed sensor — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,320,619,4,Toyota Genuine
SEN-CKP-I20,39180-2B000,Crank sensor — i20,Hyundai i20,Hyundai,i20,2015,2026,245,479,3,Hyundai Mobis
SEN-MAP-RANG,AB39-9F479-AA,MAP sensor — Ranger,Ford Ranger,Ford,Ranger,2012,2022,380,749,3,Motorcraft
SEN-TEMP-UNI,WTH-UNI,Coolant temp sensor universal,Most vehicles,Universal,Sensor,2010,2026,85,169,10,Febi
SEN-PDC-UNI,PDC-UNI,Park-distance sensor (each),Most later models,Universal,Sensor,2015,2026,185,359,8,Hella
CON-GREASE,GREASE-500,Multipurpose grease 500g,Workshop,Universal,Consumable,2010,2026,45,89,20,Castrol
CON-SIL,SIL-CLR,RTV silicone gasket 85g,Workshop,Universal,Consumable,2010,2026,38,75,24,Local OEM
CON-LOC,LOC-243,Threadlocker medium 10ml,Workshop,Universal,Consumable,2010,2026,55,109,16,Local OEM
CON-BRAKECLN,BCLN-500,Brake cleaner 500ml,Workshop,Universal,Consumable,2010,2026,42,85,30,Local OEM
CON-PENET,WD-400ML,Penetrating oil 400ml,Workshop,Universal,Consumable,2010,2026,48,95,20,Local OEM
CON-TAPE,TAPE-HARNESS,Wiring harness tape 19mm,Workshop,Universal,Consumable,2010,2026,28,55,15,Local OEM
CON-TIE,TIE-200,Cable tie pack 200pc,Workshop,Universal,Consumable,2010,2026,22,45,20,Local OEM
CON-RAG,RAG-10KG,Workshop rags 10kg,Workshop,Universal,Consumable,2010,2026,85,159,8,Local OEM
CON-GLOVE,GLOVE-100,Nitrile gloves 100-box,Workshop,Universal,Consumable,2010,2026,65,129,12,Local OEM
CON-JACKPAD,JACK-PAD,Jacking-point pad (pair),Workshop / bakkies,Universal,Consumable,2010,2026,95,189,6,Local OEM
WAS-PMP-UNI,WASHER-PMP,Windscreen washer pump,Most vehicles,Universal,Washer,2010,2026,85,169,8,Local OEM
WAS-JET-UNI,WASHER-JET,Washer jet pair,Most vehicles,Universal,Washer,2010,2026,35,69,16,Local OEM
HORN-UNI,HORN-12V,Electric horn 12V (pair),Most vehicles,Universal,Horn,2010,2026,95,189,8,Hella
JACK-SCIS,JACK-SCIS,Scissor jack 1.5t,Most hatches,Universal,Jack,2010,2026,185,359,4,Local OEM
OA-OF-AVAN,90915-YZZA1,Oil filter — Avanza / Rumion,Toyota Avanza|Toyota Rumion,Toyota,Avanza,2012,2026,78,159,8,Toyota Genuine
BR-PAD-QUANT,04465-26040,Front brake pads — Quantum,Toyota Quantum,Toyota,Quantum,2010,2026,520,999,6,Toyota Genuine
BR-DSC-QUANT,43512-26040,Front brake disc — Quantum (each),Toyota Quantum,Toyota,Quantum,2010,2026,420,819,6,Toyota Genuine
BAT-90AH-Q,YUASA-90Q,90Ah battery — Quantum / taxi,Toyota Quantum,Toyota,Quantum,2010,2026,1680,2899,4,Yuasa
KIT-MIN-QNT,KIT-QNT-MIN,Minor service kit — Quantum,Toyota Quantum,Toyota,Quantum,2010,2026,520,999,6,Toyota Genuine
BDY-BON-POLO,6R0823031,Bonnet — Polo (special order),Volkswagen Polo,Volkswagen,Polo,2010,2017,1850,3499,0,Local OEM
RAD-AMRK,2H0121251C,Radiator — Amarok 2.0 (on order),Volkswagen Amarok,Volkswagen,Amarok,2011,2022,2100,3999,0,Nissens
